comparison,scenario,regime,seed_index,metric,left_value,right_value,delta
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,1,inventory_variance,403484.272042,404409.75585,-925.483808
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,1,pre_liquidation_inventory,1918,1918,0
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,1,final_inventory,1918,1918,0
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,1,maker_fills,540,538,2
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,1,market_maker_filled_quantity,5056,5036,20
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,fill_rate,0.2001,0.1991,0.001
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,gross_spread_capture,8978.13281935,9926.50759579,-948.37477644
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,inventory_pnl,-18150.627324,-17626.5244587,-524.1028653
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,adverse_selection_cost,1455.4473148,1253.60569368,201.84162112
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,fee_pnl,40.02,39.82,0.2
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,net_pnl_after_fees,-9132.4745047,-7660.19686289,-1472.27764181
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,risk_adjusted_pnl,-0.69740331025,-0.647300442438,-0.050102867812
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,maximum_drawdown,13094.9686795,11834.0670895,1260.90159
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,inventory_variance,2787.82642716,2444.30127996,343.5251472
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,pre_liquidation_inventory,-159,-149,-10
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,final_inventory,-159,-149,-10
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,maker_fills,202,201,1
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,0,market_maker_filled_quantity,2001,1991,10
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,fill_rate,0.1691,0.1691,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,gross_spread_capture,7900.94148438,8770.94148438,-870
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,inventory_pnl,-14922.8207221,-14922.8207221,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,adverse_selection_cost,1224.13276267,1082.71111354,141.42164913
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,fee_pnl,33.82,33.82,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,net_pnl_after_fees,-6988.05923773,-6118.05923773,-870
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,risk_adjusted_pnl,-0.587746984313,-0.539056452292,-0.048690532021
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,maximum_drawdown,11889.5705537,11349.5705537,540
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,inventory_variance,3412.093536,3412.093536,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,pre_liquidation_inventory,-129,-129,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,final_inventory,-129,-129,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,maker_fills,170,170,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_10x,trending,1,market_maker_filled_quantity,1691,1691,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,fill_rate,0.041,0.04,0.001
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,gross_spread_capture,2130.81359228,2254.16992597,-123.35633369
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,inventory_pnl,-11654.1123685,-12398.946344,744.8339755
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,adverse_selection_cost,407.908584181,369.323691238,38.584892943
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,fee_pnl,8.2,8,0.2
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,net_pnl_after_fees,-9515.09877624,-10136.776418,621.67764176
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,risk_adjusted_pnl,-0.840380424791,-0.840272853628,-0.000107571163
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,maximum_drawdown,11322.3707925,12063.6723825,-741.30159
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,inventory_variance,1095.54361404,1333.40130044,-237.8576864
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,pre_liquidation_inventory,-90,-100,10
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,final_inventory,-90,-100,10
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,maker_fills,42,41,1
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,0,market_maker_filled_quantity,410,400,10
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,fill_rate,0.043,0.042,0.001
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,gross_spread_capture,1986.8022149,2186.20301551,-199.40080061
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,inventory_pnl,-6071.94657822,-6109.63259106,37.68601284
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,adverse_selection_cost,240.009674294,210.009674294,30
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,fee_pnl,8.6,8.4,0.2
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,net_pnl_after_fees,-4076.54436332,-3915.02957555,-161.51478777
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,terminal_inventory_penalty,0,0,0
