scenario,flow_type,strategy_name,regime,seed,seed_index,fill_rate,gross_spread_capture,inventory_pnl,adverse_selection_cost,fee_pnl,net_pnl_after_fees,terminal_liquidation_cost,terminal_inventory_penalty,risk_adjusted_pnl,maximum_drawdown,inventory_variance,pre_liquidation_inventory,final_inventory,maker_fills,market_maker_filled_quantity
requote_frequency_slow_25,itch-calibrated,avellaneda stoikov,low volatility,4001,1,0.055,955.416216046,28.9236020572,20.7722291407,4.4,988.739818103,0,0,1.30684195105,756.587143003,159.099836,60,60,22,220
requote_frequency_slow_25,itch-calibrated,avellaneda stoikov,high volatility,3002,0,0.045,702.987196581,2014.32611076,706.458954418,3.6,2720.91330734,0,0,3.76241063779,723.183503685,74.5919,-20,-20,18,180
requote_frequency_slow_25,itch-calibrated,avellaneda stoikov,high volatility,4002,1,0.05,1491.36728889,1446.74719322,484.105181033,4,2942.11448211,0,0,1.41235822614,2083.12199246,312.0111,-60,-60,20,200
requote_frequency_slow_25,itch-calibrated,avellaneda stoikov,trending,3003,0,0.06,1165.83949707,-6571.75006429,203.307734047,4.8,-5401.11056722,0,0,-0.806154917416,6699.84199133,496.14489404,-40,-40,25,240
requote_frequency_slow_25,itch-calibrated,avellaneda stoikov,trending,4003,1,0.05,1013.98936187,-1957.41893742,81.1270802337,4,-939.429575547,0,0,-0.544053885748,1726.72156225,220.0204,20,20,20,200
as_risk_aversion_low,hand-chosen,naive symmetric,low volatility,3001,0,0.7255,36416.6463049,-3818.23235197,458.945761404,145.1,32743.5139529,0,0,10.9793733286,2982.27530597,12554.8010624,-265,-265,781,7255
as_risk_aversion_low,hand-chosen,naive symmetric,low volatility,4001,1,0.7426,37293.4865856,-1431.41049498,201.68513148,148.52,36010.5960906,0,0,21.3617254202,1685.75315815,7886.838079,190,190,798,7426
as_risk_aversion_low,hand-chosen,naive symmetric,high volatility,3002,0,0.484,40864.5820968,-84434.3555432,7666.55032339,96.8,-43472.9734464,0,0,-0.54795994039,79336.0430973,169947.466089,426,426,521,4840
as_risk_aversion_low,hand-chosen,naive symmetric,high volatility,4002,1,0.5425,33039.8950084,-14607.6879095,10927.5545928,108.5,18540.7070988,0,0,0.636751268312,29117.6602569,48169.90711,-423,-423,592,5425
as_risk_aversion_low,hand-chosen,naive symmetric,trending,3003,0,0.5311,41993.1360019,69089.8291557,2174.05730488,106.22,111189.185158,0,0,5.46589585357,20342.3534104,361750.214576,1827,1827,567,5311
as_risk_aversion_low,hand-chosen,naive symmetric,trending,4003,1,0.5036,44942.9886653,53507.1150398,2478.70778278,100.72,98550.8237051,0,0,3.01034544738,32737.3802866,404409.75585,1918,1918,538,5036
as_risk_aversion_low,hand-chosen,avellaneda stoikov,low volatility,3001,0,0.7255,32740.6463049,-3818.23235197,654.909653368,145.1,29067.5139529,0,0,9.05452373472,3210.27530597,12554.8010624,-265,-265,781,7255
as_risk_aversion_low,hand-chosen,avellaneda stoikov,low volatility,4001,1,0.7426,33513.4865856,-1431.41049498,406.978472606,148.52,32230.5960906,0,0,18.6008006617,1732.75315815,7886.838079,190,190,798,7426
as_risk_aversion_low,hand-chosen,avellaneda stoikov,high volatility,3002,0,0.4878,39466.8971904,-85508.5659208,8220.24156366,97.56,-45944.1087303,0,0,-0.543394081817,84550.2560071,174912.051456,464,464,525,4878
as_risk_aversion_low,hand-chosen,avellaneda stoikov,high volatility,4002,1,0.5448,30647.6474898,-13782.0346668,11709.6022067,108.96,16974.572823,0,0,0.572628204602,29643.2706013,48058.6890554,-426,-426,596,5448
as_risk_aversion_low,hand-chosen,avellaneda stoikov,trending,3003,0,0.5341,40319.2043722,66392.32786,2667.72232151,106.82,106818.352232,0,0,5.34567562889,19982.1986308,348640.365196,1797,1797,570,5341
as_risk_aversion_low,hand-chosen,avellaneda stoikov,trending,4003,1,0.5056,43399.5278289,53780.5758762,2933.34835045,101.12,97281.2237051,0,0,2.97065667097,32747.3802866,403484.272042,1918,1918,540,5056
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,3001,0,0.7255,36416.6463049,-3818.23235197,458.945761404,145.1,32743.5139529,0,0,10.9793733286,2982.27530597,12554.8010624,-265,-265,781,7255
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,4001,1,0.7426,37293.4865856,-1431.41049498,201.68513148,148.52,36010.5960906,0,0,21.3617254202,1685.75315815,7886.838079,190,190,798,7426
