scenario,flow_type,strategy_name,regime,metric,sample_count,mean,stddev,median,p05,p95,ci95_low,ci95_high
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,adverse_selection_cost,2,2830.41624249,155.514467328,2830.41624249,2720.45090807,2940.38157691,2614.88418703,3045.94829795
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,fee_pnl,2,103.97,4.03050865276,103.97,101.12,106.82,98.384,109.556
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,net_pnl_after_fees,2,101993.287969,6694.97788652,101993.287969,97259.2237051,106727.352232,92714.5220122,111272.053925
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,terminal_liquidation_cost,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,terminal_inventory_penalty,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,risk_adjusted_pnl,2,4.15555321849,1.67664684957,4.15555321849,2.9699848615,5.34112157547,1.83183923879,6.47926719818
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,maximum_drawdown,2,26364.7894587,9026.34651189,26364.7894587,19982.1986308,32747.3802866,13854.911436,38874.6674814
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,inventory_variance,2,376062.318619,38780.4984376,376062.318619,348640.365196,403484.272042,322315.28991,429809.347328
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,pre_liquidation_inventory,2,1857.5,85.5599205236,1857.5,1797,1918,1738.92,1976.08
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,final_inventory,2,1857.5,85.5599205236,1857.5,1797,1918,1738.92,1976.08
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,maker_fills,2,555,21.2132034356,555,540,570,525.6,584.4
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,market_maker_filled_quantity,2,5198.5,201.525432638,5198.5,5056,5341,4919.2,5477.8
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,fill_rate,2,0.51325,0.0413657466994,0.51325,0.484,0.5425,0.45592,0.57058
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,gross_spread_capture,2,36952.2385526,5532.88930087,36952.2385526,33039.8950084,40864.5820968,29284.045206,44620.4318992
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,inventory_pnl,2,-49521.0217264,49374.9101914,-49521.0217264,-84434.3555432,-14607.6879095,-117951.156007,18909.1125547
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,adverse_selection_cost,2,9297.0524581,2305.87823238,9297.0524581,7666.55032339,10927.5545928,6101.26827407,12492.8366421
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,fee_pnl,2,102.65,8.27314933988,102.65,96.8,108.5,91.184,114.116
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,net_pnl_after_fees,2,-12466.1331738,43850.2940398,-12466.1331738,-43472.9734464,18540.7070988,-73239.5401081,48307.2737605
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,terminal_liquidation_cost,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,terminal_inventory_penalty,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,risk_adjusted_pnl,2,0.044395663961,0.837717329421,0.044395663961,-0.54795994039,0.636751268312,-1.11662132057,1.20541264849
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,maximum_drawdown,2,54226.8516771,35509.7590467,54226.8516771,29117.6602569,79336.0430973,5012.83649351,103440.866861
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,inventory_variance,2,109058.686599,86109.7377504,109058.686599,48169.90711,169947.466089,-10283.3211999,228400.694399
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,pre_liquidation_inventory,2,1.5,600.333657227,1.5,-423,426,-830.52,833.52
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,final_inventory,2,1.5,600.333657227,1.5,-423,426,-830.52,833.52
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,maker_fills,2,556.5,50.2045814642,556.5,521,592,486.92,626.08
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,market_maker_filled_quantity,2,5132.5,413.657466994,5132.5,4840,5425,4559.2,5705.8
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,fill_rate,2,0.73405,0.0120915259583,0.73405,0.7255,0.7426,0.717292,0.750808
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,gross_spread_capture,2,36855.0664453,620.0197085,36855.0664453,36416.6463049,37293.4865856,35995.7629702,37714.3699203
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,inventory_pnl,2,-2624.82142347,1687.73792056,-2624.82142347,-3818.23235197,-1431.41049498,-4963.90684333,-285.736003625
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,adverse_selection_cost,2,330.315446442,181.910735952,330.315446442,201.68513148,458.945761404,78.2000291165,582.430863768
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,fee_pnl,2,146.81,2.41830519166,146.81,145.1,148.52,143.4584,150.1616
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,net_pnl_after_fees,2,34377.0550217,2310.17593426,34377.0550217,32743.5139529,36010.5960906,31175.3145268,37578.7955167
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,terminal_liquidation_cost,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,terminal_inventory_penalty,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,risk_adjusted_pnl,2,16.1705493744,7.34143156864,16.1705493744,10.9793733286,21.3617254202,5.99584432463,26.3452544242
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,maximum_drawdown,2,2334.01423206,916.779602682,2334.01423206,1685.75315815,2982.27530597,1063.4225272,3604.60593692
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,inventory_variance,2,10220.8195707,3300.74827989,10220.8195707,7886.838079,12554.8010624,5646.21584697,14795.4232944
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,pre_liquidation_inventory,2,-37.5,321.73358544,-37.5,-265,190,-483.4,408.4
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,final_inventory,2,-37.5,321.73358544,-37.5,-265,190,-483.4,408.4
as_risk_aversion_high,hand-chosen,naive symmetric,low volatility,maker_fills,2,789.5,12.0208152802,789.5,781,798,772.84,806.16
