scenario,flow_type,strategy_name,regime,metric,sample_count,mean,stddev,median,p05,p95,ci95_low,ci95_high
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,market_maker_filled_quantity,10,3600.3,115.217716616,3642.5,3457,3807,3528.88731938,3671.71268062
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,fill_rate,10,0.6941,0.0329557615937,0.7005,0.638,0.7408,0.673673807342,0.714526192658
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,gross_spread_capture,10,15586.3518137,839.266760606,15796.649659,13923.8945524,16390.9470672,15066.1688862,16106.5347411
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,inventory_pnl,10,320.33160882,2367.00212584,15.3644552482,-2970.13402274,5550.11825201,-1146.75150823,1787.41472587
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,adverse_selection_cost,10,2671.5026916,410.798705298,2727.77053151,2150.40405425,3108.44381698,2416.88701616,2926.11836704
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,fee_pnl,10,69.41,3.29557615937,70.05,63.8,74.08,67.3673807342,71.4526192658
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,net_pnl_after_fees,10,15976.0934225,2618.36323007,15935.2941944,11409.5667202,21327.2194146,14353.215079,17598.971766
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,terminal_liquidation_cost,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,terminal_inventory_penalty,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,risk_adjusted_pnl,10,18.6708428817,20.0625793082,6.28728149621,4.47422251523,58.4749917929,6.23592739672,31.1057583666
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,maximum_drawdown,10,2056.97766288,1516.17380629,2238.2432393,261.952696685,4179.05717437,1117.24340179,2996.71192396
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,inventory_mean,10,-9.1208,63.5208425866,-5.941,-113.8296,99.8328,-48.4914261275,30.2498261275
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,inventory_variance,10,2710.21290874,2856.38570095,1678.5813008,350.7484,9652.95580336,939.80670931,4480.61910816
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,max_abs_inventory,10,153.9,85.2244748362,142.5,50,293,101.077323237,206.722676763
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,pre_liquidation_inventory,10,42.9,153.189388957,58.5,-293,248,-52.0477669646,137.847766965
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,final_inventory,10,42.9,153.189388957,58.5,-293,248,-52.0477669646,137.847766965
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,maker_fills,10,371.6,18.5244583067,375.5,344,399,360.118421789,383.081578211
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,market_maker_filled_quantity,10,3470.5,164.778807969,3502.5,3190,3704,3368.36903671,3572.63096329
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,fill_rate,10,0.58092,0.0439792072083,0.5743,0.5196,0.6404,0.553661404965,0.608178595035
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,gross_spread_capture,10,18506.4148486,3868.03647642,17143.8269024,15274.9120096,26182.6724898,16108.9810023,20903.8486948
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,inventory_pnl,10,1022.50405377,14181.3644595,-3953.15651962,-11413.1216293,33881.5178509,-7767.19670233,9812.20480987
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,adverse_selection_cost,10,6456.86669579,1532.40721112,6527.91343305,4705.8345039,8855.61297383,5507.07086615,7406.66252543
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,fee_pnl,10,58.092,4.39792072083,57.43,51.96,64.04,55.3661404965,60.8178595035
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,net_pnl_after_fees,10,19587.0109024,17217.9703655,12206.8205499,4447.73566092,58642.5882011,8915.20230648,30258.8194982
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,terminal_liquidation_cost,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,terminal_inventory_penalty,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,risk_adjusted_pnl,10,1.66806195363,1.4480929947,1.30386063201,0.104039777084,4.00373490318,0.77052461674,2.56559929051
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,maximum_drawdown,10,21545.0721926,20480.4779268,15225.7049166,2911.13104215,70780.4082607,8851.14046037,34239.0039248
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,inventory_mean,10,43.79512,189.124819106,20.606,-326.6628,361.8592,-73.4256573269,161.015897327
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,inventory_variance,10,32480.0071824,29282.157996,27634.5274201,2007.653504,82685.6921754,14330.7376242,50629.2767406
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,max_abs_inventory,10,477.5,273.265540373,508.5,121,834,308.128263331,646.871736669
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,pre_liquidation_inventory,10,287,413.64047728,357.5,-415,834,30.6229760338,543.377023966
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,final_inventory,10,287,413.64047728,357.5,-415,834,30.6229760338,543.377023966
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,maker_fills,10,312.7,24.1203003482,312,270,343,297.750082958,327.649917042
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,market_maker_filled_quantity,10,2904.6,219.896036041,2871.5,2598,3202,2768.30702482,3040.89297518
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,fill_rate,10,0.72006,0.0230435433232,0.7285,0.6914,0.7614,0.705777463877,0.734342536123
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,gross_spread_capture,10,18009.8792542,605.941279456,18072.1854564,17289.7907968,19114.0074422,17634.3129582,18385.4455501
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,inventory_pnl,10,417.870468908,1765.62097219,-139.683197279,-1767.10916672,4454.34858049,-676.472747399,1512.21368521
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,adverse_selection_cost,10,183.16165452,112.548793365,192.359131315,56.3628078567,352.219512916,113.403189673,252.920119368
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,fee_pnl,10,72.006,2.30435433232,72.85,69.14,76.14,70.5777463877,73.4342536123
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,net_pnl_after_fees,10,18499.7557231,1943.63086355,18471.3415517,15832.4834749,22938.6829206,17295.080833,19704.4306131
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,terminal_liquidation_cost,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,terminal_inventory_penalty,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,risk_adjusted_pnl,10,35.3325255159,19.4955087676,29.451300483,13.8219393442,80.2622473464,23.2490839934,47.4159670383
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,maximum_drawdown,10,657.141247766,314.06026215,635.485149928,225.668313765,1300.77325813,462.484680581,851.797814951
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,inventory_mean,10,8.1334,72.1461092817,1.369,-90.85,111.402,-36.5832218113,52.8500218113
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,inventory_variance,10,2689.0991884,2088.74766539,2321.65606128,497.40446896,7366.95479616,1394.47997272,3983.71840408
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,max_abs_inventory,10,156.7,47.1004836021,160.5,82,248,127.506817813,185.893182187
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,pre_liquidation_inventory,10,-6.5,143.303291425,21.5,-238,186,-95.3203002322,82.3203002322
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,final_inventory,10,-6.5,143.303291425,21.5,-238,186,-95.3203002322,82.3203002322
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,maker_fills,10,387.1,13.1186889589,388,371,405,378.968952343,395.231047657
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,market_maker_filled_quantity,10,3600.3,115.217716616,3642.5,3457,3807,3528.88731938,3671.71268062
hand_chosen_flow,hand-chosen,naive symmetric,trending,fill_rate,10,0.69036,0.034286738609,0.6974,0.634,0.7388,0.669108859241,0.711611140759
hand_chosen_flow,hand-chosen,naive symmetric,trending,gross_spread_capture,10,17275.0868516,974.039002538,17577.9000598,15387.3553888,18327.6266115,16671.3712231,17878.80248
hand_chosen_flow,hand-chosen,naive symmetric,trending,inventory_pnl,10,401.808385343,2457.86656177,155.280704982,-2851.58866862,5736.51116914,-1121.59309257,1925.20986325
hand_chosen_flow,hand-chosen,naive symmetric,trending,adverse_selection_cost,10,2259.10028304,371.453960858,2328.77212538,1840.18692364,2787.10196497,2028.87073285,2489.32983323
hand_chosen_flow,hand-chosen,naive symmetric,trending,fee_pnl,10,69.036,3.4286738609,69.74,63.4,73.88,66.9108859241,71.1611140759
hand_chosen_flow,hand-chosen,naive symmetric,trending,net_pnl_after_fees,10,17745.9312369,2696.0372431,17741.6600342,12599.1667202,22980.9367065,16074.9100413,19416.9524325
hand_chosen_flow,hand-chosen,naive symmetric,trending,terminal_liquidation_cost,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,naive symmetric,trending,terminal_inventory_penalty,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,naive symmetric,trending,risk_adjusted_pnl,10,20.271804227,24.0585888337,6.79959146428,4.8751337417,69.6001628024,5.36013637828,35.1834720758
hand_chosen_flow,hand-chosen,naive symmetric,trending,maximum_drawdown,10,2133.84469537,1488.38419852,2289.84899653,248.775591669,4235.11727454,1211.33461162,3056.35477911
hand_chosen_flow,hand-chosen,naive symmetric,trending,inventory_mean,10,-6.54856,64.7040651734,-2.841,-114.4956,98.5392,-46.6525550847,33.5554350847
hand_chosen_flow,hand-chosen,naive symmetric,trending,inventory_variance,10,2895.75823696,3102.68139089,1655.56198168,379.71106864,10580.040076,972.696387351,4818.82008657
hand_chosen_flow,hand-chosen,naive symmetric,trending,max_abs_inventory,10,162,88.9644123606,147.5,58,316,106.859285943,217.140714057
hand_chosen_flow,hand-chosen,naive symmetric,trending,pre_liquidation_inventory,10,47.8,164.140048603,79,-316,268,-53.9350561322,149.535056132
hand_chosen_flow,hand-chosen,naive symmetric,trending,final_inventory,10,47.8,164.140048603,79,-316,268,-53.9350561322,149.535056132
hand_chosen_flow,hand-chosen,naive symmetric,trending,maker_fills,10,369.6,18.9338028111,372,342,399,357.864707436,381.335292564
hand_chosen_flow,hand-chosen,naive symmetric,trending,market_maker_filled_quantity,10,3451.8,171.433693045,3487,3170,3694,3345.54429621,3558.05570379
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,fill_rate,10,0.18186,0.0211191435012,0.1753,0.154,0.228,0.168770219244,0.194949780756
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,gross_spread_capture,10,4316.78738675,538.263599932,4231.26554884,3498.17630752,5131.68129672,3983.16815111,4650.40662239
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,inventory_pnl,10,-1277.20716702,4986.38942504,600.432887005,-13076.8281378,4298.32856487,-4367.80335223,1813.38901819
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,adverse_selection_cost,10,2128.20140618,464.73078906,2060.25196581,1353.91980451,2858.31894087,1840.1582789,2416.24453346
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,fee_pnl,10,18.186,2.11191435012,17.53,15.4,22.8,16.8770219244,19.4949780756
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,net_pnl_after_fees,10,3057.76621973,4976.62445012,4722.43411673,-9054.55911526,8499.05563398,-26.7775713127,6142.31001078
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,terminal_liquidation_cost,10,0,0,0,0,0,0,0
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,terminal_inventory_penalty,10,0,0,0,0,0,0,0
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,risk_adjusted_pnl,10,1.93558261085,2.87924500457,1.00743882429,-0.583476943486,9.03061679024,0.15100806825,3.72015715344
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,maximum_drawdown,10,5454.83233272,4446.99172381,3985.81485409,656.566449194,15518.280913,2698.55830642,8211.10635902
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,inventory_mean,10,13.65536,55.2356979997,12.722,-82.152,111.392,-20.5800803104,47.8908003104
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,inventory_variance,10,1053.1113631,594.283194442,1061.32852352,319.865484,2282.728896,684.770823063,1421.45190315
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,max_abs_inventory,10,101.7,43.4742580283,90,60,180,74.7543757088,128.645624291
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,pre_liquidation_inventory,10,11.7,66.4413693083,12.5,-110,100,-29.4807873434,52.8807873434
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,final_inventory,10,11.7,66.4413693083,12.5,-110,100,-29.4807873434,52.8807873434
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,maker_fills,10,91.1,10.5245744174,88,77,114,84.5768011937,97.6231988063
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,high volatility,market_maker_filled_quantity,10,909.3,105.595717506,876.5,770,1140,843.851096218,974.748903782
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,fill_rate,10,0.19486,0.0148354080946,0.1977,0.172,0.22,0.185664918799,0.204055081201
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,gross_spread_capture,10,4354.09989257,320.791787451,4424.84107479,3737.41841245,4834.49854226,4155.27108278,4552.92870236
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,inventory_pnl,10,230.285833107,816.450866605,389.352837385,-1051.23062026,1694.83773159,-275.755656766,736.327322981
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,adverse_selection_cost,10,87.19463537,66.0243048172,82.2080056725,12.4978404395,217.287353997,46.2723472764,128.116923464
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,fee_pnl,10,19.486,1.48354080946,19.77,17.2,22,18.5664918799,20.4055081201
